metric,baseline,full_waste,change,change_pct,explanation
total_profit_yuan,40996985.412504,40757749.982721,-239235.4297830015,-0.0058354395,加入管理约束后的利润代价
solver_gap,0.0052762693,0.0106697774,0.0053935081,1.0222200181,求解器尚未证明的相对差距
positive_area_rows,798.0,760.0,-38.0,-0.0476190476,实际非零的地块-季次-作物记录数
total_planted_area_mu,9011.318458,8909.801442,-101.517016,-0.0112655009,七年所有季次种植面积合计
average_area_per_positive_row_mu,11.2923790201,11.72342295,0.4310439299,0.0381712241,每条种植记录的平均面积
surplus_rate,0.0251773134,0.0216992986,-0.0034780148,-0.1381408232,总超产量占总产量比例
total_surplus_jin,225782.714688,191986.232421,-33796.482267,-0.1496858708,超过预期销量的总产量
active_crop_year_season_groups,328.0,327.0,-1.0,-0.0030487805,实际出现的作物-年份-季次组合数
average_plots_per_active_group,2.4329268293,2.3241590214,-0.1087678079,-0.0447065676,每个作物-年份-季次平均使用地块数
maximum_plots_in_one_group,16.0,7.0,-9.0,-0.5625,单个作物-年份-季次使用地块数最大值
groups_over_7_plots,10.0,0.0,-10.0,-1.0,超过7块地的组合数量
minimum_area_violation_rows,119.0,0.0,-119.0,-1.0,低于配置最小面积的记录数量
minimum_area_total_shortfall_mu,400.997057,0.0,-400.997057,-1.0,这些小面积记录距最低要求的合计差额
constraint_violations,0.0,0.0,0.0,,独立审计发现的正式模型约束违反数
