check,violation_count,max_violation,unit,status,details
面积非负,0,0.0,亩,PASS,所有面积均非负
作物适宜性,0,0.0,处,PASS,所有正面积组合均适宜
地块季次面积上限,0,0.0,亩,PASS,各地块每季面积不超限
水浇地稻菜模式,0,0.0,亩,PASS,水稻与两季蔬菜不并存
水浇地第二季单一作物,0,0.0,种,PASS,第二季至多一种根菜
相邻年份同季重茬,0,0.0,处,PASS,无相邻年份同季重茬
2023-2024初始重茬,0,0.0,亩,PASS,2024未重复2023同地块同季作物
智慧大棚连续季重茬,0,0.0,处,PASS,智慧大棚年内、跨年及2023S2→2024S1均无连续重茬
最小种植面积,0,0.0,亩,PASS,所有启用作物达到最小面积
每作物最大地块数,0,0.0,块,PASS,每作物每年每季不超过7块地
三年豆类覆盖,0,0.0,亩,PASS,每个三年窗口豆类累计面积达标
训练情景利润独立重算,0,0.0,元,PASS,最大重算差异=0.020259元
